n	Session	magnetometer.seconds.Unix	magnetometer.magx	magnetometer.magy	magnetometer.magz
32	4607	1411812146	\x00320031003200320033003400350036003600360036003600360035003500340034003200320032003300330031003100300031002f002f002f002f00310030002f002f0030003000300032003100330034003400340034003500320031002f00300030	\xff35ff35ff35ff36ff35ff35ff36ff36ff37ff37ff37ff37ff37ff37ff37ff37ff36ff37ff38ff36ff35ff35ff35ff35ff35ff34ff34ff34ff35ff35ff35ff35ff34ff36ff35ff35ff35ff35ff35ff36ff37ff36ff38ff38ff38ff39ff3aff39ff38ff38	\x00130015001500150016001500160015001400110012001100100011001100110010001100100012001300120013001300140015001500160015001500150015001400140013001200110011001200110014001200130014001300120013001200120013
33	4607	1411812147	\x0030002f002f003000300031002f002f002d002e002e002e002e002f00310032003300330032003100310032003200330033003300340036003600350033003200320031003000310031003200330032003200330034003300330032003300330032	\xff38ff39ff37ff36ff35ff36ff37ff37ff36ff36ff37ff38ff38ff38ff36ff37ff38ff38ff39ff39ff3aff3aff3aff3bff3bff3aff3bff3bff39ff38ff38ff36ff36ff36ff35ff33ff33ff32ff34ff34ff33ff34ff35ff35ff36ff38ff36ff35ff35	\x0013001200130012001100130012001300130013001000120011001000120012001200120013001400150014001200140014001500140015001400140015001400150015001600160016001600150015001400120013001200110012001200110012
34	4607	1411812148	\x003100310030002f002f002f002f002f002f002f003000310031003100310032003200320032003200310031002f002e002f002d002d002d002d002f00310032003000310032003100320031002f003000300030002f002f003100310032003200340035	\xff36ff36ff37ff36ff36ff37ff39ff3aff39ff3aff39ff39ff39ff37ff38ff38ff37ff36ff36ff36ff35ff39ff38ff37ff38ff39ff3bff3bff3bff39ff39ff3aff38ff38ff36ff35ff36ff36ff36ff35ff37ff37ff36ff36ff37ff37ff38ff38ff38ff37	\x00140014001400160015001600170017001700160016001600170016001700170016001600160015001500160017001700160017001700170017001500130012001100100012001300150015001700170017001700170015001400140014001300140013
35	4607	1411812149	\x0035003600320031003100300030002e002e002e002f0031003200310032003100300031002f002f002f002f002e002e002f002e0030002f00300030002f0030002f0030002f0030002f0030003200330033003400340033003200320032003100320031	\xff39ff39ff38ff36ff34ff34ff34ff34ff34ff34ff35ff35ff38ff3aff3aff3aff38ff37ff36ff36ff35ff33ff32ff32ff34ff35ff35ff36ff37ff37ff38ff38ff37ff36ff37ff37ff37ff37ff36ff35ff37ff36ff36ff35ff34ff34ff34ff35ff35ff36	\x00120014001500150014001500140015001600140014001400150015001500150014001400160016001500160014001500150016001500150017001700190018001800190018001600150015001400140015001200120014001400130012001300120014
36	4607	1411812150	\x003000300031003000300030002f002f003000300031002f0030002f002e002f002e002e002e0030002f002f002f002f003000300030002f002f00300031003000310032003300350037003700380039003800360035003300340031003100310031	\xff34ff35ff35ff35ff36ff35ff35ff36ff36ff37ff37ff38ff37ff38ff38ff37ff38ff37ff35ff34ff36ff34ff34ff32ff32ff33ff33ff35ff34ff34ff35ff36ff36ff36ff38ff36ff35ff35ff38ff35ff35ff37ff36ff37ff38ff38ff37ff39ff39	\x0014001300120011001100110013001300130014001400140014001400130012001100110011001000120012001200130015001400130015001400120013001200110013001400140014001400150016001600150016001500150016001500130012
37	4607	1411812151	\x00320033003300330034003200320033003400340032003100310033003200310030002e002e00310030003000310032003200330033003200330033003200340035003500350033003300320033003200310032003100330031003200310030002f002f	\xff38ff38ff39ff39ff3cff3bff3aff3aff3bff3bff3cff3bff39ff39ff3bff3bff3aff39ff39ff3aff3aff3aff39ff39ff3aff39ff39ff38ff37ff35ff35ff33ff34ff35ff34ff35ff36ff35ff37ff39ff36ff37ff38ff38ff38ff38ff38ff37ff39ff39	\x00110010001100110011001200150016001700160015001500150014001400130015001600160016001600160015001400110011001300130012001100100010001100120010001100120011001100100011001100120012001400140014001700160015
38	4607	1411812152	\x002f00310031003100330032003400330034003200350033003200330033003500340032002f00310031003200310030002f002f002f002f002f002d002d002d002f0031003200330032003500350037003600350033003200340033003300320032	\xff37ff38ff38ff38ff36ff37ff36ff35ff36ff35ff37ff38ff39ff38ff39ff3aff3aff3bff38ff39ff38ff39ff38ff39ff39ff39ff3aff39ff39ff38ff3aff3aff38ff37ff38ff38ff39ff3aff38ff37ff38ff39ff38ff39ff3aff3aff39ff3bff3a	\x0015001500160017001900180018001900170017001300140014001200120011001000110013001100120013001200120013001300140015001200130015001300130013001100100012001100110013001400140015001500160016001700170017
39	4607	1411812153	\x0033003200320032003100300030002f00300032003100310032003300330033003200310031003000300031003000320031003100320033003300320033002f002f00300030002f00300030002e003000330032003300340034003200320031002f0031	\xff39ff39ff37ff36ff37ff37ff38ff38ff38ff37ff39ff38ff38ff38ff36ff38ff39ff3aff3aff38ff38ff37ff38ff36ff35ff36ff34ff36ff36ff36ff37ff39ff3aff39ff39ff39ff39ff39ff39ff37ff37ff37ff38ff36ff36ff37ff38ff39ff38ff38	\x00170017001600150015001500150016001500160017001700170016001700170017001700160016001500150013001200120011001100100011001100100010001000130013001500150017001900190018001600160016001600130013001400160017
40	4607	1411812154	\x00310032003000320032003300320032002f002e00300030003200320032003100320032003100300030003000320032003200310030002f002e002e002e002f002f002e002f00300030002f00310031003100320031002f002f002f002d002e002e002c	\xff38ff39ff39ff38ff36ff34ff33ff34ff35ff34ff34ff33ff34ff35ff36ff36ff36ff36ff36ff39ff38ff39ff3aff3aff3aff39ff3bff3aff3bff3aff39ff37ff38ff39ff3aff3aff37ff36ff38ff39ff37ff37ff35ff35ff36ff36ff36ff36ff39ff3a	\x00160014001600150014001400120013001300140015001700170016001600160015001400120011001000110012001200140013001500160016001700170017001700170017001700170014001500140015001500150015001500170014001400140015
41	4607	1411812155	\x002e003000300032003100320034003500350035003500340035003300320031003000300031003100300031002f00300032003100310031003100310033003300320032003200310031003100310031003000300031003200320032003300340035	\xff39ff38ff38ff3aff39ff38ff37ff36ff38ff38ff38ff38ff37ff38ff38ff36ff35ff36ff37ff36ff37ff35ff35ff36ff36ff35ff34ff35ff34ff35ff36ff35ff35ff36ff38ff39ff3aff3bff3cff3bff3dff3bff38ff36ff35ff36ff35ff35ff35	\x0016001500140014001400140013001300110011001100130014001600150016001700170017001500160014001500130011001200120014001300130011001000120014001400140015001600180019001800160016001300130012001000110011
