systime	sender_id	rssi
000087.375	2	-41
000087.379	1	-86
000087.391	4	-46
000087.396	2	-42
000087.401	1	-90
000087.412	4	-46
000087.417	2	-42
000087.423	1	-84
000087.434	4	-46
000087.439	2	-40
000087.443	1	-86
000087.455	4	-45
000087.460	2	-42
000087.465	1	-89
000087.477	4	-45
000087.482	2	-43
000087.486	1	-86
000087.498	4	-46
000087.503	2	-42
000087.508	1	-86
000087.519	4	-47
000087.524	2	-41
000087.540	4	-46
000087.545	2	-42
000087.551	1	-86
000087.561	4	-45
000087.566	2	-42
000087.571	1	-88
000087.583	4	-44
000087.588	2	-41
000087.593	1	-84
000087.605	4	-45
000087.610	2	-42
000087.615	1	-84
000087.630	4	-46
000087.634	2	-39
000087.638	1	-85
000087.648	4	-45
000087.653	2	-42
000087.658	1	-85
000087.670	4	-46
000087.677	2	-41
000087.681	1	-88
000087.691	4	-46
000087.697	2	-41
000087.704	1	-90
000087.714	4	-47
000087.718	2	-42
000087.723	1	-89
000087.734	4	-46
000087.744	1	-81
000087.755	4	-47
000087.760	2	-43
000087.765	1	-83
000087.776	4	-47
000087.786	1	-86
000087.797	4	-46
000087.805	2	-40
000087.809	1	-89
000087.818	4	-46
000087.832	1	-83
000087.841	4	-46
000087.846	2	-39
000087.851	1	-85
000087.862	4	-47
000087.867	2	-43
000087.872	1	-86
000087.883	4	-46
000087.888	2	-37
000087.893	1	-82
000087.904	4	-46
000087.909	2	-42
000087.914	1	-84
000087.925	4	-46
000087.933	2	-42
000087.937	1	-85
000087.946	4	-46
000087.951	2	-39
000087.960	1	-90
000087.969	4	-45
000087.974	2	-42
000087.979	1	-88
000087.990	4	-43
000088.000	1	-87
000088.011	4	-46
000088.016	2	-43
000088.021	1	-89
000088.032	4	-47
000088.037	2	-41
000088.042	1	-88
000088.054	4	-47
000088.061	2	-44
000088.066	1	-87
000088.080	2	-41
000088.088	1	-84
000088.098	4	-46
000088.102	2	-44
000088.118	4	-45
000088.128	1	-83
000088.139	4	-46
000088.144	2	-44
000088.149	1	-91
000088.160	4	-46
000088.165	2	-40
000088.170	1	-86
000088.181	4	-48
000088.189	2	-42
000088.193	1	-87
000088.202	4	-47
000088.207	2	-45
000088.226	4	-45
000088.230	2	-42
000088.235	1	-89
000088.247	4	-46
000088.252	2	-45
000088.256	1	-84
000088.271	4	-45
000088.275	2	-39
000088.280	1	-82
000088.289	4	-46
000088.297	2	-44
000088.302	1	-83
000088.311	4	-47
000088.339	2	-43
000088.345	1	-84
000088.354	4	-46
000088.374	4	-45
000088.381	2	-42
000088.386	1	-87
000088.395	4	-47
000088.417	4	-46
000088.423	2	-42
000088.427	1	-89
000088.437	4	-45
000088.448	1	-88
000088.458	4	-45
000088.465	2	-39
000088.473	1	-90
000088.482	4	-45
000088.487	2	-43
000088.491	1	-83
000088.508	2	-41
000088.513	1	-81
000088.524	4	-47
000088.534	1	-85
000088.544	4	-47
000088.550	2	-42
000088.555	1	-85
000088.565	4	-46
000088.576	1	-85
000088.586	4	-45
000088.592	2	-42
