systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812288.75593	1411812288.00	41.178060	-8.598360	?	?	?	1.6	2.5	2.9
1411812289.46795	1411812289.00	41.178060	-8.598360	141.6	0.072	155.2600	1.6	2.5	2.9
1411812290.53317	1411812290.00	41.178060	-8.598360	141.6	0.072	154.3100	1.6	2.5	2.9
1411812291.51820	1411812291.00	41.178060	-8.598360	141.6	0.072	157.7400	1.6	2.5	2.9
1411812292.35863	?	?	?	141.5	?	?	1.6	2.5	2.9
1411812293.44514	1411812292.00	41.178060	-8.598360	141.5	0.077	193.0100	1.6	2.5	2.9
1411812294.50846	1411812293.00	41.178060	-8.598360	141.4	0.082	193.1400	1.6	2.5	2.9
1411812295.51745	1411812295.00	41.178060	-8.598360	141.4	0.077	190.6900	1.6	2.5	2.9
1411812296.27355	?	?	?	141.3	?	?	1.6	?	?
1411812296.82253	1411812296.00	41.178060	-8.598360	?	0.072	173.8600	1.6	2.5	2.9
1411812297.72144	?	?	?	141.3	?	?	1.6	2.5	2.9
1411812298.52522	1411812298.00	41.178060	-8.598358	141.3	0.077	176.6100	1.6	2.5	2.9
1411812299.55342	1411812299.00	41.178060	-8.598358	141.2	0.072	173.0500	1.6	2.5	2.9
1411812300.47384	1411812300.00	41.178062	-8.598358	141.2	0.072	174.4400	1.6	2.5	2.9
1411812301.50940	1411812301.00	41.178062	-8.598358	141.2	0.072	174.0000	1.6	2.5	2.9
1411812302.95145	1411812302.00	41.178062	-8.598358	141.1	0.072	171.6800	1.6	2.5	3.0
1411812303.55253	1411812303.00	41.178062	-8.598358	141.1	?	?	1.6	2.5	3.0
1411812304.47099	1411812304.00	41.178062	-8.598358	141.1	0.072	174.9600	1.6	2.5	3.0
1411812305.50406	1411812305.00	41.178062	-8.598358	141.0	0.077	180.6000	1.6	2.5	3.0
1411812306.52929	1411812306.00	41.178062	-8.598357	141.0	0.077	175.6500	1.6	2.5	3.0
1411812308.45461	1411812307.00	41.178062	-8.598357	141.0	0.077	175.0500	1.6	2.5	3.0
1411812309.47531	1411812308.00	41.178062	-8.598357	141.0	0.077	176.4200	1.6	2.5	3.0
1411812310.53222	1411812310.00	41.178062	-8.598357	140.9	0.072	176.2500	1.6	2.5	3.0
1411812311.50727	1411812310.00	41.178062	-8.598357	140.9	0.072	176.2500	1.6	?	?
1411812312.67744	?	?	?	140.9	?	?	1.6	2.5	3.0
1411812313.55160	1411812313.00	41.178062	-8.598357	140.9	0.098	175.6300	1.6	2.5	3.0
1411812314.52156	1411812314.00	41.178062	-8.598357	140.9	0.103	180.7300	1.6	2.5	3.0
1411812315.75424	1411812315.00	41.178062	-8.598357	140.9	0.098	178.8200	1.6	2.5	3.0
1411812316.55104	1411812316.00	41.178060	-8.598357	140.9	0.082	179.5100	1.6	2.5	3.0
1411812317.93570	1411812317.00	41.178062	-8.598357	140.9	0.077	176.8400	1.6	2.5	3.0
1411812318.50076	1411812318.00	41.178062	-8.598357	140.9	0.082	181.4100	1.6	2.5	3.0
1411812319.47656	1411812319.00	41.178062	-8.598355	140.8	0.077	181.1600	1.6	2.5	3.0
1411812320.52510	1411812320.00	41.178062	-8.598355	140.8	0.077	180.3400	1.6	2.5	3.0
1411812321.52220	1411812321.00	41.178062	-8.598355	140.8	0.077	178.2700	1.6	2.5	3.0
1411812323.40426	1411812321.00	41.178062	-8.598355	140.8	0.077	178.2700	1.6	2.5	3.0
1411812323.94664	1411812323.00	41.178062	-8.598355	?	0.077	181.7300	?	?	?
1411812324.53930	1411812324.00	41.178062	-8.598355	140.8	0.077	183.3500	1.6	2.5	3.0
1411812325.57521	1411812325.00	41.178062	-8.598355	140.8	0.077	180.5900	1.6	2.5	3.0
1411812326.47153	1411812326.00	41.178062	-8.598355	140.8	0.082	180.8300	1.6	2.5	3.0
1411812327.93966	1411812327.00	41.178062	-8.598355	140.8	0.077	184.9300	1.6	2.5	3.0
1411812328.53050	1411812328.00	41.178062	-8.598355	140.8	0.082	181.1000	1.6	2.5	3.0
1411812329.47824	1411812329.00	41.178062	-8.598355	140.8	0.082	181.5700	1.6	2.5	3.0
1411812330.52748	1411812330.00	41.178062	-8.598355	140.8	0.082	176.4900	1.6	2.5	3.0
1411812331.52624	1411812331.00	41.178062	-8.598355	140.8	0.082	180.8300	1.6	2.5	3.0
1411812332.93453	1411812331.00	41.178062	-8.598355	140.9	0.082	180.8300	1.6	2.5	3.0
1411812333.44241	?	?	?	140.9	?	?	1.6	2.5	3.0
1411812334.49118	1411812333.00	41.178062	-8.598355	140.9	0.082	179.7700	1.6	2.5	3.0
1411812335.50514	1411812335.00	41.178062	-8.598355	140.9	0.051	174.8000	1.6	2.5	3.0
1411812336.47264	1411812336.00	41.178062	-8.598355	140.9	0.051	171.7000	1.6	2.5	3.0
1411812337.94473	1411812337.00	41.178062	-8.598355	140.9	0.046	172.3800	1.6	2.5	3.0
1411812338.61537	1411812338.00	41.178062	-8.598355	140.8	?	?	1.6	2.5	3.0
1411812339.48206	1411812339.00	41.178062	-8.598355	140.8	0.072	179.2500	1.6	2.5	3.0
1411812340.53977	1411812340.00	41.178062	-8.598353	140.8	0.077	177.3100	1.6	2.5	3.0
1411812341.54852	1411812341.00	41.178062	-8.598353	140.9	0.077	178.8100	1.6	2.5	3.0
1411812342.21246	?	?	?	140.9	?	?	1.6	?	?
1411812343.45320	1411812342.00	41.178062	-8.598353	?	0.077	178.0300	1.6	2.5	3.0
1411812344.50784	1411812343.00	41.178062	-8.598353	140.9	0.077	177.6700	1.6	2.5	3.0
1411812345.55238	1411812345.00	41.178062	-8.598353	140.9	0.077	176.4700	1.6	2.5	3.0
1411812346.49251	1411812345.00	41.178062	-8.598353	140.9	0.077	176.4700	1.6	2.5	3.0
1411812347.66946	?	?	?	140.9	?	?	1.6	2.5	3.0
1411812348.53593	1411812348.00	41.178063	-8.598353	140.9	0.072	175.4300	1.6	2.5	3.0
1411812349.54065	1411812349.00	41.178063	-8.598353	140.8	0.072	176.4600	1.6	2.5	3.0
1411812350.48761	1411812350.00	41.178063	-8.598352	140.4	0.154	204.4900	1.6	2.5	3.0
1411812351.51275	1411812351.00	41.178062	-8.598350	139.9	0.262	180.5200	1.6	2.5	3.0
1411812353.09809	1411812352.00	41.178062	-8.598348	139.3	0.077	174.0300	1.6	2.5	3.0
1411812353.63828	1411812353.00	41.178062	-8.598347	138.9	?	?	1.6	2.5	3.0
1411812354.49025	1411812354.00	41.178062	-8.598347	138.4	0.067	169.1800	1.6	2.5	3.0
1411812355.53325	1411812355.00	41.178062	-8.598345	138.0	0.062	160.8200	1.6	2.5	3.0
1411812356.56028	1411812356.00	41.178063	-8.598343	137.4	0.062	157.7200	1.5	1.9	2.4
1411812358.45856	1411812357.00	41.178063	-8.598342	136.4	0.062	161.1200	1.6	2.5	3.0
1411812359.49421	1411812358.00	41.178063	-8.598340	135.9	0.062	155.6300	1.5	1.9	2.4
1411812360.56975	1411812360.00	41.178065	-8.598337	135.4	0.057	175.1500	1.5	1.9	2.4
1411812361.47627	1411812361.00	41.178067	-8.598335	134.9	?	?	1.5	1.9	2.4
1411812362.68910	1411812361.00	41.178067	-8.598335	134.4	0.051	168.7100	1.5	1.9	2.4
1411812363.53962	1411812363.00	41.178065	-8.598335	134.5	0.051	168.7700	1.1	1.5	1.8
1411812364.56123	1411812364.00	41.178065	-8.598333	134.3	0.067	174.2200	1.1	1.5	1.8
