systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411813214.47656	1411813240.00	41.165183	-8.597155	169.1	7.778	100.6100	0.9	1.3	1.6
1411813215.47104	1411813242.00	41.165160	-8.596967	168.9	8.169	98.5300	0.9	1.3	1.6
1411813216.47800	1411813243.00	41.165150	-8.596872	168.6	7.825	99.0300	0.9	1.3	1.6
1411813217.44632	1411813244.00	41.165142	-8.596777	168.1	7.892	98.8900	0.9	1.3	1.6
1411813219.45532	1411813245.00	41.165130	-8.596682	167.2	8.036	100.2100	0.9	1.3	1.6
1411813220.51539	1411813247.00	41.165108	-8.596488	166.6	8.241	97.2500	0.9	1.3	1.6
1411813221.49418	1411813248.00	41.165097	-8.596387	166.1	8.622	99.1600	0.9	1.3	1.6
1411813222.49107	1411813249.00	41.165083	-8.596283	165.5	8.288	98.9800	0.9	1.3	1.6
1411813224.45850	1411813250.00	41.165072	-8.596185	163.5	8.293	98.3400	0.9	1.3	1.6
1411813225.46410	1411813252.00	41.165057	-8.595983	161.7	7.953	96.3900	0.9	1.3	1.6
1411813226.47120	1411813253.00	41.165048	-8.595878	160.7	8.848	94.8800	1.3	1.4	1.9
1411813227.48831	1411813254.00	41.165033	-8.595773	161.1	8.303	99.8200	0.9	1.3	1.6
1411813229.42529	1411813255.00	41.165020	-8.595673	161.2	7.886	99.9200	0.9	1.3	1.6
1411813230.50652	1411813257.00	41.164995	-8.595490	161.1	7.120	99.2900	0.9	1.3	1.6
1411813231.50811	1411813258.00	41.164985	-8.595402	161.2	7.135	98.2400	0.9	1.3	1.6
1411813232.51040	1411813259.00	41.164975	-8.595318	161.4	6.106	98.4800	0.9	1.3	1.6
1411813234.42542	1411813260.00	41.164967	-8.595247	161.1	5.556	98.9600	0.9	1.3	1.6
1411813235.49237	1411813262.00	41.164947	-8.595125	161.5	3.925	100.2500	0.9	1.3	1.6
1411813236.47315	1411813263.00	41.164942	-8.595080	161.7	3.102	97.9100	0.9	1.3	1.6
1411813237.49356	1411813264.00	41.164942	-8.595045	161.7	2.300	91.9300	0.9	1.3	1.6
1411813239.47443	1411813265.00	41.164942	-8.595013	161.7	2.300	95.2900	0.9	1.3	1.6
1411813240.48142	1411813267.00	41.164933	-8.594943	161.8	3.503	95.7800	0.9	1.3	1.6
1411813241.54366	1411813268.00	41.164928	-8.594893	162.1	4.435	100.3300	0.9	1.3	1.6
1411813242.48625	1411813269.00	41.164918	-8.594833	162.6	5.139	103.9100	0.9	1.3	1.6
1411813244.46258	1411813270.00	41.164903	-8.594770	164.2	5.319	102.5500	0.9	1.3	1.6
1411813245.50761	1411813272.00	41.164880	-8.594623	164.5	6.832	100.7400	0.9	1.3	1.6
1411813246.48671	1411813273.00	41.164868	-8.594535	164.7	7.856	100.9500	0.9	1.3	1.6
1411813247.52652	1411813274.00	41.164853	-8.594438	164.9	8.200	100.1300	0.9	1.3	1.6
1411813249.50424	1411813276.00	41.164830	-8.594240	164.9	8.267	100.5500	0.9	1.3	1.6
1411813250.50624	1411813277.00	41.164817	-8.594140	164.8	8.262	99.3500	0.9	1.3	1.6
1411813251.49549	1411813278.00	41.164803	-8.594043	164.7	8.010	101.1400	0.9	1.3	1.6
1411813252.49328	1411813279.00	41.164790	-8.593952	164.5	7.115	101.7600	0.9	1.3	1.6
1411813254.48908	1411813281.00	41.164768	-8.593792	163.7	6.220	100.2400	0.9	1.3	1.6
1411813255.51087	1411813282.00	41.164757	-8.593717	163.7	6.024	102.0100	0.9	1.3	1.6
1411813256.49617	1411813283.00	41.164745	-8.593647	163.5	5.885	100.5400	0.9	1.3	1.6
1411813257.49408	1411813284.00	41.164738	-8.593577	163.4	5.319	93.3600	0.9	1.3	1.6
1411813259.48446	1411813285.00	41.164745	-8.593518	163.1	4.609	70.9300	0.9	1.3	1.6
